date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:33	3351/3351	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2002:25:50%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/?C=D;O=A	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/index30b5.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/)
16:47:37	7702/7702	U-----	200	untouched ('OK')	text/html	etag:%221e16-4942bfcdb5362%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/startups.html	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/startups.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:38	8386/8386	U-----	200	untouched ('OK')	text/html	etag:%2220c2-490f3821ed986%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/Altera-history.html	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/Altera-history.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/)
16:47:39	355446/355446	U-----	200	untouched ('')	application/pdf	etag:%2256c76-490f383c39fc3%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/altera_ep300.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/altera_ep300.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/)
16:47:40	709498/709498	U-----	200	untouched ('')	application/pdf	etag:%22ad37a-490f386ff5d15%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/apex.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/apex.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/)
16:47:40	1493922/1493922	U-----	200	untouched ('')	application/pdf	etag:%2216cba2-490f38db60e13%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/cyclone-lc-hp-fpga-423.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/cyclone-lc-hp-fpga-423.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/)
16:47:40	302053/302053	U-----	200	untouched ('')	application/pdf	etag:%2249be5-490f38f116c90%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/ds_arm.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/ds_arm.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/)
16:47:40	403488/403488	U-----	200	untouched ('')	application/pdf	etag:%2262820-490f3997032a3%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/dsf6k.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/dsf6k.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/)
16:47:44	925805/925805	U-----	200	untouched ('')	application/pdf	etag:%22e206d-490f39d983397%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/dsf8k.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/dsf8k.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/)
16:47:45	1897175/1897175	U-----	200	untouched ('')	application/pdf	etag:%221cf2d7-490f397a18b05%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/dsf10k.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/dsf10k.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/)
